Station,Dates,Temp,DO,pH,Conductivity,Turbidity
Station_A,03/01/2022 5:00,7.67,9.34,7.49,261.9,3.3
Station_A,03/01/2022 6:00,8.08,9.95,7.56,259.9,3.3
Station_A,03/01/2022 7:00,8.55,10.26,7.76,260.8,3.2
Station_A,03/01/2022 8:00,8.98,10.71,7.85,259.1,3.8
Station_A,03/01/2022 9:00,9.58,11.22,7.94,265,3.7
Station_A,03/01/2022 10:00,10.35,11.59,8.02,262.3,4.3
Station_A,03/01/2022 11:00,11.02,11.94,8.15,266.6,4
Station_A,03/01/2022 12:00,11.77,12.24,8.21,269.5,4.9
Station_A,03/01/2022 13:00,12.1,12.52,8.28,270.3,4
Station_A,03/01/2022 14:00,12.45,12.42,8.35,266.6,3.7
Station_A,03/01/2022 15:00,12.52,12.22,8.35,262.2,4.1
Station_A,03/01/2022 16:00,12.21,12.31,8.28,257.6,4
Station_A,03/01/2022 17:00,11.94,12.01,8.28,272,2.9
Station_A,03/01/2022 18:00,11.47,11.82,8.14,266.9,3.6
Station_A,03/01/2022 19:00,10.87,11.16,7.98,275,2.8
Station_A,03/01/2022 20:00,10.34,10.58,7.7,265.4,3.5
Station_A,03/01/2022 21:00,9.68,10.12,7.56,256.3,4.4
Station_A,03/01/2022 22:00,8.89,9.55,7.55,245.8,3.9
Station_A,03/01/2022 23:00,8.41,9.09,7.51,251.7,4
Station_A,04/01/2022 0:00,7.96,8.95,7.38,241.8,3.9
Station_A,04/01/2022 1:00,7.53,8.56,7.31,243.9,4.5
Station_A,04/01/2022 2:00,7.18,9.02,7.32,249.3,3.9
Station_A,04/01/2022 3:00,7.13,8.99,7.3,247.7,4.4
Station_A,04/01/2022 4:00,7.22,8.89,7.4,251.2,4.2
Station_A,04/01/2022 5:00,7.45,9.59,7.46,243.3,5.3
Station_A,04/01/2022 6:00,7.78,10.09,7.56,244.5,3.4
Station_A,04/01/2022 7:00,8.31,10.36,7.61,243.8,2.8
Station_A,04/01/2022 8:00,8.85,10.55,7.73,246.7,3.1
Station_A,04/01/2022 9:00,9.69,11.01,7.77,241.6,3.6
Station_A,04/01/2022 10:00,10.45,11.63,7.96,241.1,4.6
Station_A,04/01/2022 11:00,11.1,11.98,8.18,232.6,4
Station_A,04/01/2022 12:00,11.63,12.38,8.23,234.7,3.8
Station_A,04/01/2022 13:00,12.11,12.33,8.31,233.2,4.6
Station_A,04/01/2022 14:00,12.3,12.5,8.29,233.6,3.8
Station_A,04/01/2022 15:00,12.34,12.46,8.36,240.5,3.3
Station_A,04/01/2022 16:00,12.26,12.27,8.3,245.4,3.2
Station_A,04/01/2022 17:00,11.87,12.02,8.11,247.6,2.6
Station_A,04/01/2022 18:00,11.44,11.35,7.96,254.2,2.4
Station_A,04/01/2022 19:00,10.93,10.78,7.9,251.4,2.4
Station_A,04/01/2022 20:00,10.34,10.41,7.82,263.4,3
Station_A,04/01/2022 21:00,9.71,9.96,7.67,260.8,3.5
Station_A,04/01/2022 22:00,9.03,9.69,7.55,265.9,3.3
Station_A,04/01/2022 23:00,8.41,9.39,7.53,268.1,3.6
Station_A,05/01/2022 0:00,8.19,9.17,7.41,270.4,2.7
Station_A,05/01/2022 1:00,7.64,9.14,7.39,274.8,3.3
Station_A,05/01/2022 2:00,7.3,9.28,7.33,274.4,2.8
Station_A,05/01/2022 3:00,7.27,9.08,7.34,274.8,3.3
Station_A,05/01/2022 4:00,7.3,9.33,7.4,280.1,3
Station_A,05/01/2022 5:00,7.55,9.7,7.46,279.9,2.8
Station_A,05/01/2022 6:00,7.95,10.16,7.55,273.6,2.3
Station_A,05/01/2022 7:00,8.64,10.53,7.67,273.4,2.4
Station_A,05/01/2022 8:00,9.21,11.11,7.8,271.6,2.5
Station_A,05/01/2022 9:00,9.93,11.35,7.88,275.3,3
Station_A,05/01/2022 10:00,10.41,11.91,8.04,270.9,3.4
Station_A,05/01/2022 11:00,11.07,12.26,8.14,268.6,3.4
Station_A,05/01/2022 12:00,11.5,12.87,8.3,267.1,2.9
Station_A,05/01/2022 13:00,11.73,13.35,8.22,266.6,3
Station_A,05/01/2022 14:00,12.04,13.41,8.36,267.7,2.8
Station_A,05/01/2022 15:00,12.15,13.32,8.25,270.1,3.1
Station_A,05/01/2022 16:00,12.26,12.62,8.19,271.9,3
Station_A,05/01/2022 17:00,12.05,11.85,8.05,272.5,3.3
Station_A,05/01/2022 18:00,11.58,10.99,7.91,268,3.2
Station_A,05/01/2022 19:00,11.14,10.96,7.91,272.7,3.2
Station_A,05/01/2022 20:00,10.61,10.74,7.82,279.8,3.2
Station_A,05/01/2022 21:00,9.93,10.23,7.7,284.6,2.2
Station_A,05/01/2022 22:00,9.25,9.89,7.65,281.4,5.1
Station_A,05/01/2022 23:00,8.6,9.54,7.56,278.3,3.7
Station_A,06/01/2022 0:00,8.29,9.28,7.51,274.1,3.3
Station_A,06/01/2022 1:00,8.01,8.82,7.44,282.2,4.5
Station_A,06/01/2022 2:00,7.89,8.54,7.3,280.3,3.9
Station_A,06/01/2022 3:00,7.86,8.5,7.34,270.9,3.9
Station_A,06/01/2022 4:00,7.88,8.75,7.41,265,4
Station_A,06/01/2022 5:00,8.28,9.34,7.48,268.7,3.9
Station_A,06/01/2022 6:00,8.61,9.51,7.56,264.1,3.7
Station_A,06/01/2022 7:00,8.99,9.95,7.65,268.9,3.5
Station_A,06/01/2022 8:00,9.68,10.42,7.82,273.8,4.1
Station_A,06/01/2022 9:00,10.16,11.15,8.02,270.1,4.2
Station_A,06/01/2022 10:00,10.91,11.62,8.2,271,3.5
Station_A,06/01/2022 11:00,11.53,12.15,8.22,273.5,3.6
Station_A,06/01/2022 12:00,11.99,12.62,8.26,280.7,3.9
Station_A,06/01/2022 13:00,12.27,12.87,8.3,280.4,3.5
Station_A,06/01/2022 14:00,12.39,12.78,8.32,279.5,3.7
Station_A,06/01/2022 15:00,12.52,12.63,8.26,276.8,3.3
Station_A,06/01/2022 16:00,12.34,12.55,8.27,278.1,3.8
Station_A,06/01/2022 17:00,12.11,12.1,8.22,274.4,3.6
Station_A,06/01/2022 18:00,11.69,11.8,8.17,274.6,3.7
Station_A,06/01/2022 19:00,11.33,11.02,8.04,276,3.4
Station_A,06/01/2022 20:00,10.56,10.61,7.88,275.4,3.3
Station_A,06/01/2022 21:00,10.12,10.28,7.73,271.1,3.5
Station_A,06/01/2022 22:00,9.56,9.44,7.6,270.8,3.2
Station_A,06/01/2022 23:00,8.79,9.29,7.53,261.5,3.9
Station_A,07/01/2022 0:00,8.3,9.19,7.46,258.6,4
Station_A,07/01/2022 1:00,7.87,9.19,7.43,259.1,4.2
Station_A,07/01/2022 2:00,7.62,9.19,7.34,253,3.8
Station_A,07/01/2022 3:00,7.46,9.06,7.36,269,2.4
Station_A,07/01/2022 4:00,7.49,9.63,7.5,261.1,2.9
Station_A,07/01/2022 5:00,7.65,9.66,7.51,260.8,2.6
Station_A,07/01/2022 6:00,8.16,10.28,7.65,266,3.1
Station_A,07/01/2022 7:00,8.67,10.77,7.73,277.1,3
Station_A,07/01/2022 8:00,9.39,10.83,7.77,282.5,2.6
Station_A,07/01/2022 9:00,10.19,10.93,7.82,277.8,4.1
Station_A,07/01/2022 10:00,11.02,11.55,7.99,267.1,3.9
Station_A,07/01/2022 11:00,11.58,12.1,8.06,270.3,3.6
Station_A,07/01/2022 12:00,12.04,12.55,8.21,270,2.9
Station_A,07/01/2022 13:00,12.47,12.5,8.23,256.9,3.9
Station_A,07/01/2022 14:00,12.63,12.74,8.29,263.4,3.7
Station_A,07/01/2022 15:00,12.63,12.57,8.23,272.9,3.2
Station_A,07/01/2022 16:00,12.44,12.49,8.23,277.4,2.4
Station_A,07/01/2022 17:00,12.28,12.03,8.12,272.4,3.8
Station_A,07/01/2022 18:00,11.91,11.33,8.02,271.3,3.9
Station_A,07/01/2022 19:00,11.35,10.83,7.91,276,3.3
Station_A,07/01/2022 20:00,10.75,10.32,7.77,275.4,3.6
Station_A,07/01/2022 21:00,10.22,9.87,7.73,270.7,4.9
Station_A,07/01/2022 22:00,9.51,9.87,7.69,266,4.6
Station_A,07/01/2022 23:00,8.99,9.55,7.55,271.5,3.5
Station_A,08/01/2022 0:00,8.81,8.61,7.4,272.2,3.9
Station_A,08/01/2022 1:00,8.3,8.5,7.3,271.4,3.7
Station_A,08/01/2022 2:00,7.99,8.72,7.28,265.2,3.9
Station_A,08/01/2022 3:00,8.15,8.87,7.37,269.8,3
Station_A,08/01/2022 4:00,8.21,8.97,7.44,270.3,2.8
Station_A,08/01/2022 5:00,8.44,9.32,7.56,277.2,3.8
Station_A,08/01/2022 6:00,8.97,9.78,7.71,291.2,2.8
Station_A,08/01/2022 7:00,9.56,10.27,7.79,287.8,2.7
Station_A,08/01/2022 8:00,10.04,11.03,7.98,287.7,4
Station_A,08/01/2022 9:00,10.65,11.63,8.09,284.4,4
Station_A,08/01/2022 10:00,11.32,12,8.19,279,4.1
Station_A,08/01/2022 11:00,11.77,12.68,8.32,271.8,4.4
Station_A,08/01/2022 12:00,12.15,12.98,8.36,271.8,3.6
Station_A,08/01/2022 13:00,12.63,13.1,8.41,267.4,4.3
Station_A,08/01/2022 14:00,12.79,13.3,8.43,261.2,4
Station_A,08/01/2022 15:00,12.82,13.2,8.39,257.3,3.5
Station_A,08/01/2022 16:00,12.83,13.01,8.37,260,3.5
Station_A,08/01/2022 17:00,12.79,12.19,8.32,258,3.5
Station_A,08/01/2022 18:00,12.22,11.6,8.05,256.9,3.4
Station_A,08/01/2022 19:00,11.63,10.98,7.81,258.1,3.5
Station_A,08/01/2022 20:00,11.32,10.16,7.78,255.5,2.5
Station_A,08/01/2022 21:00,10.63,9.85,7.75,253.6,3.9
Station_A,08/01/2022 22:00,9.93,9.59,7.63,253.2,3.9
Station_A,08/01/2022 23:00,9.2,9.05,7.47,253.5,4.7
Station_A,09/01/2022 0:00,8.81,8.94,7.45,262.3,3.9
Station_A,09/01/2022 1:00,8.37,8.96,7.45,253.5,4.9
Station_A,09/01/2022 2:00,8.15,8.77,7.3,261.7,3.9
Station_A,09/01/2022 3:00,8.12,8.69,7.36,271.5,3.9
Station_A,09/01/2022 4:00,8.09,9.05,7.42,274.7,3.7
Station_A,09/01/2022 5:00,8.38,9.52,7.49,271,4.2
Station_A,09/01/2022 6:00,8.84,9.99,7.54,268.3,4.6
Station_A,09/01/2022 7:00,9.34,10.4,7.74,271.4,3.5
Station_A,09/01/2022 8:00,10.2,10.8,7.86,277.1,2.8
Station_A,09/01/2022 9:00,10.87,11.31,7.89,284.8,2.3
Station_A,09/01/2022 10:00,11.38,11.88,8.02,279.7,2.7
Station_A,09/01/2022 11:00,11.82,12.13,8.13,275.3,2.3
Station_A,09/01/2022 12:00,12.42,12.22,8.14,277.5,2.9
Station_A,09/01/2022 13:00,12.74,12.67,8.34,275.7,2.5
Station_A,09/01/2022 14:00,12.99,12.64,8.4,274.4,3.2
Station_A,09/01/2022 15:00,12.84,12.57,8.32,276.8,2.9
Station_A,09/01/2022 16:00,12.85,12.44,8.28,280.2,3.2
Station_A,09/01/2022 17:00,12.54,11.98,8.22,275.9,4.4
Station_A,09/01/2022 18:00,12.1,11.47,8.14,278.5,3.9
Station_A,09/01/2022 19:00,11.6,10.85,7.97,281.4,3.9
Station_A,09/01/2022 20:00,11.04,10.39,7.93,280.1,4.8
Station_A,09/01/2022 21:00,10.53,9.9,7.77,284.1,4.5
Station_A,09/01/2022 22:00,9.73,9.42,7.62,277.8,4.1
Station_A,09/01/2022 23:00,9.15,9.05,7.56,277.7,3.8
Station_A,10/01/2022 0:00,8.92,8.86,7.46,287.8,3.2
Station_A,10/01/2022 1:00,8.38,8.79,7.33,280.2,3.2
Station_A,10/01/2022 2:00,8.23,8.92,7.29,274.8,3.9
Station_A,10/01/2022 3:00,8.1,8.98,7.42,268.1,3.3
Station_A,10/01/2022 4:00,8.26,8.82,7.4,259,2.6
Station_A,10/01/2022 5:00,8.49,9.31,7.54,257.4,3.4
Station_A,10/01/2022 6:00,8.76,9.71,7.63,257.9,3.1
Station_A,10/01/2022 7:00,9.2,10.07,7.71,260.2,2.9
Station_A,10/01/2022 8:00,9.9,10.8,7.97,256.9,3.3
Station_A,10/01/2022 9:00,10.5,11.3,8.02,255.1,4.2
Station_A,10/01/2022 10:00,11.11,12.31,8.22,251.8,3.1
Station_A,10/01/2022 11:00,11.87,12,8.28,255.5,3.1
Station_A,10/01/2022 12:00,12.48,12.52,8.28,260.7,2.3
Station_A,10/01/2022 13:00,12.97,12.49,8.26,265.3,2.4
Station_A,10/01/2022 14:00,13.07,12.75,8.38,270,2.4
Station_A,10/01/2022 15:00,13.16,12.96,8.41,256.4,2.7
Station_A,10/01/2022 16:00,13.02,12.52,8.36,257.8,3.5
Station_A,10/01/2022 17:00,12.74,11.89,8.23,250.3,3.5
Station_A,10/01/2022 18:00,12.44,11.31,8.17,252.5,3.1
Station_A,10/01/2022 19:00,12.06,10.48,8,255.1,3.5
Station_A,10/01/2022 20:00,11.54,9.84,7.85,256.2,4
Station_A,10/01/2022 21:00,10.94,9.38,7.68,258.6,4
Station_A,10/01/2022 22:00,10.26,9.03,7.54,249.3,3.9
Station_A,10/01/2022 23:00,9.61,8.79,7.53,258.4,3.7
Station_A,11/01/2022 0:00,9.18,8.8,7.46,264.7,3.6
Station_A,11/01/2022 1:00,8.84,8.31,7.35,268.5,3.2
Station_A,11/01/2022 2:00,8.5,8.44,7.36,277.6,2.9
Station_A,11/01/2022 3:00,8.39,8.74,7.38,276.4,3.4
Station_A,11/01/2022 4:00,8.42,8.76,7.38,275.4,3.7
Station_A,11/01/2022 5:00,8.67,9.04,7.42,275.2,2.5
Station_A,11/01/2022 6:00,9.12,9.54,7.48,273.4,4.4
Station_A,11/01/2022 7:00,9.53,10.37,7.63,264.3,3.7
Station_A,11/01/2022 8:00,10.33,10.62,7.76,254.9,4.2
Station_A,11/01/2022 9:00,10.96,11.28,7.93,253.3,4.1
Station_A,11/01/2022 10:00,11.38,11.49,8,253.6,3.7
Station_A,11/01/2022 11:00,12,12.08,8.04,258.4,3.7
Station_A,11/01/2022 12:00,12.61,12.9,8.24,256.2,4.3
Station_A,11/01/2022 13:00,12.9,13.08,8.36,271.3,4.1
Station_A,11/01/2022 14:00,13.08,13.05,8.38,267.9,4.2
Station_A,11/01/2022 15:00,13.35,12.59,8.31,269.9,4
Station_A,11/01/2022 16:00,13.33,12.24,8.28,264.5,3.7
Station_A,11/01/2022 17:00,13.11,11.74,8.17,262.4,3.6
Station_A,11/01/2022 18:00,12.72,11.36,8.15,260.9,4.2
Station_A,11/01/2022 19:00,11.97,10.72,7.98,265.1,3.7
Station_A,11/01/2022 20:00,11.34,10,7.76,260.4,3.9
Station_A,11/01/2022 21:00,10.61,9.69,7.67,260,3.6
Station_A,11/01/2022 22:00,10.24,8.88,7.52,261.2,2.8
Station_A,11/01/2022 23:00,9.58,8.74,7.41,261.7,3.6
Station_A,12/01/2022 0:00,9.31,8.61,7.44,265.8,3.4
Station_A,12/01/2022 1:00,8.86,8.32,7.35,262.4,3.3
Station_A,12/01/2022 2:00,8.72,8.39,7.33,266.2,3.9
Station_A,12/01/2022 3:00,8.67,8.38,7.32,254.2,4.4
Station_A,12/01/2022 4:00,8.68,8.54,7.35,260.8,3.1
Station_A,12/01/2022 5:00,8.8,9.04,7.41,258.8,3.9
Station_A,12/01/2022 6:00,9.4,9.78,7.57,263.5,3.9
Station_A,12/01/2022 7:00,9.88,10.15,7.72,259.7,3.9
Station_A,12/01/2022 8:00,10.48,10.73,7.9,267.4,4.6
Station_A,12/01/2022 9:00,11.2,11.42,8,262.8,3
Station_A,12/01/2022 10:00,11.77,12.19,8.2,274.9,3.2
Station_A,12/01/2022 11:00,12.52,12.46,8.26,277.4,3.8
Station_A,12/01/2022 12:00,12.75,12.43,8.28,277.6,2.8
Station_A,12/01/2022 13:00,13.28,12.5,8.25,273.7,3.3
Station_A,12/01/2022 14:00,13.5,12.24,8.21,276.6,4.7
Station_A,12/01/2022 15:00,13.66,12.37,8.24,265.4,3.8
Station_A,12/01/2022 16:00,13.54,12.1,8.24,271,4.8
Station_A,12/01/2022 17:00,13.43,11.57,8.13,273.3,3
Station_A,12/01/2022 18:00,12.89,11.25,8.11,271.8,4.1
Station_A,12/01/2022 19:00,12.35,10.69,7.89,275.5,3.7
Station_A,12/01/2022 20:00,11.74,9.98,7.77,271.4,3.3
Station_A,12/01/2022 21:00,11.12,9.65,7.71,269.4,3.7
Station_A,12/01/2022 22:00,10.55,9.06,7.56,277,3.5
Station_A,12/01/2022 23:00,9.96,8.85,7.57,272.6,3.4
Station_A,13/01/2022 0:00,9.75,8.73,7.52,275.5,3.3
Station_A,13/01/2022 1:00,9.31,8.73,7.49,279.7,3.2
Station_A,13/01/2022 2:00,8.98,8.44,7.38,280.5,3.3
Station_A,13/01/2022 3:00,8.94,8.64,7.35,278.4,3.6
Station_A,13/01/2022 4:00,9.1,8.79,7.42,275.8,3.9
Station_A,13/01/2022 5:00,9.32,8.9,7.44,270.2,3.5
Station_A,13/01/2022 6:00,9.72,9.51,7.55,274,3.8
Station_A,13/01/2022 7:00,10.2,10.18,7.64,263.6,4.2
Station_A,13/01/2022 8:00,10.73,10.76,7.83,260.3,4.3
Station_A,13/01/2022 9:00,11.4,11.25,8.02,256.9,4.4
Station_A,13/01/2022 10:00,11.93,11.6,8.12,265.2,4
Station_A,13/01/2022 11:00,12.6,12.27,8.27,258.1,4.5
Station_A,13/01/2022 12:00,13.25,12.27,8.33,260.2,4.3
Station_A,13/01/2022 13:00,13.49,12.67,8.32,255.5,5.2
Station_A,13/01/2022 14:00,13.59,12.59,8.32,255.1,4.5
Station_A,13/01/2022 15:00,13.73,12.5,8.24,257.8,3.2
Station_A,13/01/2022 16:00,13.6,12.33,8.19,256.8,3.3
Station_A,13/01/2022 17:00,13.51,11.61,8.1,252.4,3.9
Station_A,13/01/2022 18:00,13.08,11.06,7.9,247.3,3.2
Station_A,13/01/2022 19:00,12.69,10.31,7.85,264.8,4.1
Station_A,13/01/2022 20:00,12.14,10.01,7.8,255.5,2.6
Station_A,13/01/2022 21:00,11.75,9.68,7.76,257.9,3.2
Station_A,13/01/2022 22:00,11.13,9.07,7.65,258,3.2
Station_A,13/01/2022 23:00,10.35,8.96,7.54,272.6,5
Station_A,14/01/2022 0:00,9.84,8.58,7.51,271.3,4.4
Station_A,14/01/2022 1:00,9.38,8.43,7.37,266.4,4.2
Station_A,14/01/2022 2:00,9.01,8.61,7.34,263.2,3.6
Station_A,14/01/2022 3:00,8.81,8.77,7.41,261,3.5
Station_A,14/01/2022 4:00,8.91,9.09,7.46,259.5,3.7
Station_A,14/01/2022 5:00,9.22,9.36,7.53,263.8,3.3
Station_A,14/01/2022 6:00,9.49,10.16,7.64,263.7,2.5
Station_A,14/01/2022 7:00,10.16,10.61,7.72,262,3.3
Station_A,14/01/2022 8:00,10.88,10.69,7.78,262.9,3.8
Station_A,14/01/2022 9:00,11.75,10.74,7.94,260.6,2.9
Station_A,14/01/2022 10:00,12.51,11.1,8,265.8,3.4
Station_A,14/01/2022 11:00,13.01,11.62,8.2,270.6,4.1
Station_A,14/01/2022 12:00,13.25,12.18,8.29,271.3,3.9
Station_A,14/01/2022 13:00,13.67,12.43,8.3,262.1,3.8
Station_A,14/01/2022 14:00,14.02,12.34,8.25,262.5,3.9
Station_A,14/01/2022 15:00,14.03,12.25,8.24,272.2,3
Station_A,14/01/2022 16:00,13.93,11.97,8.2,267.9,4.2
Station_A,14/01/2022 17:00,13.66,11.57,8.05,263.1,3.8
Station_A,14/01/2022 18:00,13.36,11.03,7.96,266.3,3.3
Station_A,14/01/2022 19:00,12.56,10.67,7.93,276.2,3.7
Station_A,14/01/2022 20:00,12.04,10.28,7.89,274.4,3.2
Station_A,14/01/2022 21:00,11.51,9.9,7.86,260.9,4.3
Station_A,14/01/2022 22:00,10.79,9.5,7.63,260.6,4.1
Station_A,14/01/2022 23:00,10.17,8.9,7.49,259.5,3.6
Station_A,15/01/2022 0:00,9.77,8.45,7.35,267.7,3.8
Station_A,15/01/2022 1:00,9.28,8.28,7.24,273.7,3.2
Station_A,15/01/2022 2:00,9.03,8.43,7.26,275.4,2.9
Station_A,15/01/2022 3:00,8.98,8.65,7.38,263,3.6
Station_A,15/01/2022 4:00,9.03,8.68,7.45,274.4,3.6
Station_A,15/01/2022 5:00,9.28,8.74,7.52,274.7,4
Station_A,15/01/2022 6:00,9.85,9.12,7.62,280.8,4.3
Station_A,15/01/2022 7:00,10.49,9.56,7.69,278.4,3.4
Station_A,15/01/2022 8:00,11.21,9.76,7.8,280.9,3.1
Station_A,15/01/2022 9:00,11.65,10.62,7.93,284.3,2.9
Station_A,15/01/2022 10:00,12.34,10.99,8.08,275.7,2.9
Station_A,15/01/2022 11:00,12.83,11.45,8.27,274.2,2.3
Station_A,15/01/2022 12:00,13.33,11.76,8.31,271.5,3.1
Station_A,15/01/2022 13:00,13.65,12.21,8.34,271.1,3.3
Station_A,15/01/2022 14:00,13.74,12.44,8.34,274.3,4.6
Station_A,15/01/2022 15:00,13.89,12.23,8.3,274.8,4.3
Station_A,15/01/2022 16:00,13.86,11.91,8.21,277.9,3.6
Station_A,15/01/2022 17:00,13.64,11.4,8.12,279,3.4
Station_A,15/01/2022 18:00,13.23,11.19,8.05,281.8,4.1
Station_A,15/01/2022 19:00,12.68,10.83,7.9,281.1,3.2
Station_A,15/01/2022 20:00,12.03,10.42,7.81,273.2,4.6
Station_A,15/01/2022 21:00,11.34,9.7,7.69,277.1,5.1
Station_A,15/01/2022 22:00,10.79,9.5,7.6,270.9,4.5
Station_A,15/01/2022 23:00,10.29,8.96,7.51,277.2,4.9
Station_A,16/01/2022 0:00,10.03,8.34,7.42,270.9,4.7
Station_A,16/01/2022 1:00,9.73,7.95,7.37,270.5,3.1
Station_A,16/01/2022 2:00,9.48,8.35,7.44,270,4
Station_A,16/01/2022 3:00,9.47,8.32,7.47,265.5,4.1
Station_A,16/01/2022 4:00,9.71,8.32,7.49,264.7,4.3
Station_A,16/01/2022 5:00,9.84,9.14,7.64,268.6,3.7
Station_A,16/01/2022 6:00,10.28,9.73,7.71,265,4.6
Station_A,16/01/2022 7:00,10.71,9.98,7.79,260.3,4.2
Station_A,16/01/2022 8:00,11.31,10.52,7.9,263.5,4.7
Station_A,16/01/2022 9:00,11.97,11,8.05,272.7,3.1
Station_A,16/01/2022 10:00,12.74,11.39,8.17,274,3.3
Station_A,16/01/2022 11:00,13.27,12.17,8.26,276.6,4.4
Station_A,16/01/2022 12:00,13.89,12.56,8.25,283,4.8
Station_A,16/01/2022 13:00,14.5,12.27,8.32,279.3,4.8
Station_A,16/01/2022 14:00,14.76,12.16,8.36,277.9,3.9
Station_A,16/01/2022 15:00,14.99,11.79,8.41,284.8,3.9
Station_A,16/01/2022 16:00,14.61,11.76,8.26,280.9,3.6
Station_A,16/01/2022 17:00,14.16,11.57,8.13,274.1,3
Station_A,16/01/2022 18:00,13.71,11.11,8,271.8,3.5
Station_A,16/01/2022 19:00,13.34,10.67,8,261,3.5
Station_A,16/01/2022 20:00,12.74,10.27,7.9,274.3,3.5
Station_A,16/01/2022 21:00,12.12,9.55,7.7,282.4,3.1
Station_A,16/01/2022 22:00,11.33,9.04,7.69,279.6,3.9
Station_A,16/01/2022 23:00,10.62,8.46,7.54,276.1,3.6
Station_A,17/01/2022 0:00,10.17,8.26,7.44,271.9,3.7
Station_A,17/01/2022 1:00,9.98,7.9,7.35,277.7,2.7
Station_A,17/01/2022 2:00,9.61,7.67,7.35,268.1,3.4
Station_A,17/01/2022 3:00,9.36,7.91,7.38,271.8,4.5
Station_A,17/01/2022 4:00,9.51,8.44,7.42,262.5,4
Station_A,17/01/2022 5:00,9.73,8.73,7.47,268,3.4
Station_A,17/01/2022 6:00,10.14,8.99,7.55,268.3,3.9
Station_A,17/01/2022 7:00,10.86,9.92,7.71,268.7,4.3
